Device, URL, RAM, CPU, Display Resolution, Instruction Set, OpenGL ES 2.0, Vector Floating Point
Archos Gen10 101 XS, http://pdadb.net/index.php?m=specs&id=3768&view=1, 1024, 1500, 1280x800, ARMv7, Yes,
Samsung SPH-M950 Galaxy Reverb, http://pdadb.net/index.php?m=specs&id=3780&view=1, 768, 1400, 480x800, ARMv7, Yes,
Samsung SCH-i659 Galaxy Ace Plus, http://pdadb.net/index.php?m=specs&id=3849&view=1, 512, 1000, 320x480, ARMv7-A, Yes,
T-Mobile Samsung SGH-T699 Galaxy S Relay 4G / Blaze Q, http://pdadb.net/index.php?m=specs&id=3754&view=1, 1024, 1500, 800x480, ARMv7,,
Fujitsu Stylistic M532, http://pdadb.net/index.php?m=specs&id=3316&view=1, 1024, 1400, 1280x800, ARMv7-A,,
ZTE Warp Sequent, http://pdadb.net/index.php?m=specs&id=3837&view=1, 768, 1400, 540x960, IA-32, Yes,
HTC Desire X (HTC Proto), http://pdadb.net/index.php?m=specs&id=3792&view=1, 768, 1000, 480x800, ARMv7-A, Yes,
Samsung SPH-L300 Galaxy Victory 4G LTE (Samsung Gogh), http://pdadb.net/index.php?m=specs&id=3545&view=1, 1024, 1200, 480x800, ARMv7,,
Pantech Flex P8010 (Pantech Oscar), http://pdadb.net/index.php?m=specs&id=3574&view=1, 1024, 1512, 540x960, ARMv7,,
ZTE Skate Acqua, http://pdadb.net/index.php?m=specs&id=3403&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Coolpad Quattro 4G 5860E, http://pdadb.net/index.php?m=specs&id=3735&view=1, 512, 1000, 480x800, , ,
Huawei Ascend G302D (Huawei U8812D), http://pdadb.net/index.php?m=specs&id=3661&view=1, 512, 1000, 480x800, ARMv7,,
Samsung SPH-M830 Galaxy Rush, http://pdadb.net/index.php?m=specs&id=3779&view=1, 768, 1000, 320x480, ARMv7-A, Yes,
Samsung YP-GP1 Galaxy Player 5.8 32GB, http://pdadb.net/index.php?m=specs&id=3787&view=1, 1024, 1000, 540x960, ARMv7,,
Amazon Kindle Fire 7 HD 32GB, http://pdadb.net/index.php?m=specs&id=3842&view=1, 1024, 1200, 1280x800, ARMv7,,
HTC J Z321e (HTC Nippon), http://pdadb.net/index.php?m=specs&id=3841&view=1, 1024, 1512, 540x960, ARMv7,,
Motorola DROID RAZR M 4G LTE XT907 (Motorola Scorpion Mini), http://pdadb.net/index.php?m=specs&id=3794&view=1, 1024, 1512, 540x960, ARMv7,,
LG US730 Splendor, http://pdadb.net/index.php?m=specs&id=3825&view=1, 1024, 1000, 480x800, ARMv7, Yes,
Sony Xperia SL LT26ii, http://pdadb.net/index.php?m=specs&id=3680&view=1, 1024, 1700, 720x1280, ARMv7,,
ZTE Grand X N970, http://pdadb.net/index.php?m=specs&id=3633&view=1, 1024, 1500, 540x960, ARMv7,,
LG E405 Optimus L3 Dual, http://pdadb.net/index.php?m=specs&id=3742&view=1, 384, 800, 240x320, ARMv7-A, Yes,
Alcatel One Touch OT-993D, http://pdadb.net/index.php?m=specs&id=3871&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Asus Transformer Pad Infinity 4G LTE 64 GB TF700KL / TF700TL, http://pdadb.net/index.php?m=specs&id=3387&view=1, 1024, 1512, 1920x1200, ARMv7,,
Acer AT390, http://pdadb.net/index.php?m=specs&id=3673&view=1, 512, 1000, 480x800, ARMv5,,
Samsung GT-S5302 Galaxy Pocket Duos / Galaxy Y Duos Lite, http://pdadb.net/index.php?m=specs&id=3840&view=1,, 833, 240x320, ARMv6, Yes,
Sony Xperia Ion HSPA LT28h (Sony Aoba), http://pdadb.net/index.php?m=specs&id=3601&view=1, 1024, 1512, 720x1280, ARMv7,,
Sony Xperia TX LT29 / Xperia T LT29i (Sony Hayabusa), http://pdadb.net/index.php?m=specs&id=3483&view=1, 1024, 1500, 720x1280, ARMv7,,
Sony Xperia Tablet S 3G 16GB, http://pdadb.net/index.php?m=specs&id=3810&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Sony Xperia Tablet S 3G 32GB, http://pdadb.net/index.php?m=specs&id=3815&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Sony Xperia Tablet S 3G 64GB, http://pdadb.net/index.php?m=specs&id=3820&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Sony Xperia Tablet S WiFi 64GB, http://pdadb.net/index.php?m=specs&id=3821&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Sony Xperia Tablet S WiFi 32GB, http://pdadb.net/index.php?m=specs&id=3822&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Sony Xperia Tablet S WiFi 16GB, http://pdadb.net/index.php?m=specs&id=3823&view=1, 1024, 1300, 1280x800, ARMv7-A,,
LG VS950 Intuition / Optimus Vu, http://pdadb.net/index.php?m=specs&id=3646&view=1, 1024, 1512, 768x1024, ARMv7,,
Samsung SCH-i200 Galaxy Stellar 4G (Samsung Jasper), http://pdadb.net/index.php?m=specs&id=3491&view=1, 1024, 1200, 480x800, ARMv7,,
Samsung SPH-D710 Galaxy S II 4G (Samsung Within), http://pdadb.net/index.php?m=specs&id=3772&view=1, 1024, 1200, 480x800, ARMv7,,
ZTE Nova V6500, http://pdadb.net/index.php?m=specs&id=3847&view=1, 256, 1000, 320x480, ARMv7-A, Yes,
Lenovo IdeaPad A2109 16GB, http://pdadb.net/index.php?m=specs&id=3788&view=1, 1024, 1200, 1280x800, ARMv7-A,,
Sharp SH530U, http://pdadb.net/index.php?m=specs&id=3761&view=1, 512, 1000, 480x800, ARMv7,,
Alcatel One Touch OT-991D, http://pdadb.net/index.php?m=specs&id=3869&view=1, 256, 800, 320x480, ARMv6,,
Alcatel One Touch T20, http://pdadb.net/index.php?m=specs&id=3923&view=1, 1024, 1000, 1024x600, ARMv7-A,,
Huawei Ascend D1 Quad / Ascend D quad (Huawei U9510), http://pdadb.net/index.php?m=specs&id=3392&view=1, 1024, 1400, 720x1280, ARMv7,,
Lenovo IdeaPhone / LePhone K860, http://pdadb.net/index.php?m=specs&id=3647&view=1, 1024, 1400, 720x1280, ARMv7,,
Acer Iconia Tab A110 16GB, http://pdadb.net/index.php?m=specs&id=3873&view=1, 1024, 1200, 1024x600, ARMv7-A,,
ViewSonic ViewPhone 5e, http://pdadb.net/index.php?m=specs&id=3435&view=1,,, 480x800, , ,
Samsung GT-i9300T Galaxy S III, http://pdadb.net/index.php?m=specs&id=3549&view=1, 1024, 1400, 720x1280, ARMv7,,
Sony Xperia Miro ST23a (Sony Mesona), http://pdadb.net/index.php?m=specs&id=3622&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Huawei MediaPad 10 FHD WiFi S10-101w, http://pdadb.net/index.php?m=specs&id=3471&view=1, 2048, 1500, 1920x1200, ARMv7,,
NTT DoCoMo Fujitsu Arrows X F-10D, http://pdadb.net/index.php?m=specs&id=3571&view=1, 1024, 1500, 720x1280, ARMv7-A,,
LG MS770 Motion 4G, http://pdadb.net/index.php?m=specs&id=3702&view=1, 1024, 1200, 540x960, ARMv7,,
ZTE Grand X LTE T82, http://pdadb.net/index.php?m=specs&id=3371&view=1, 1024, 1512, 540x960, ARMv7,,
Samsung GT-N8000 Galaxy Note 10.1 64GB, http://pdadb.net/index.php?m=specs&id=3389&view=1, 2048, 1400, 1280x800, ARMv7,,
Archos Elements 97 Carbon, http://pdadb.net/index.php?m=specs&id=3685&view=1, 1024, 1000, 1024x768, ARMv7-A,,
ZTE Anthem 4G N910, http://pdadb.net/index.php?m=specs&id=3370&view=1, 512, 1200, 480x800, ARMv7,,
Sony Xperia acro S LT26w (Sony Hikari), http://pdadb.net/index.php?m=specs&id=3588&view=1, 1024, 1512, 720x1280, ARMv7,,
Motorola Defy Pro XT560 A, http://pdadb.net/index.php?m=specs&id=3521&view=1, 512, 1000, 480x320, ARMv7-A, Yes,
Panasonic Eluga Power P-07D, http://pdadb.net/index.php?m=specs&id=3582&view=1, 1024, 1500, 720x1280, ARMv7,,
HTC Quattro, http://pdadb.net/index.php?m=specs&id=3223&view=1, 1024,, 1280x768, ARMv7-A,,
Huawei Shine U8836D, http://pdadb.net/index.php?m=specs&id=3740&view=1, 512, 1000, 540x960, ARMv7,,
Samsung GT-N8010 Galaxy Note 10.1 WiFi 32GB, http://pdadb.net/index.php?m=specs&id=3390&view=1, 2048, 1400, 1280x800, ARMv7,,
Samsung SCH-i405U Galaxy Metrix 4G (Samsung Aegis), http://pdadb.net/index.php?m=specs&id=3492&view=1, 512, 1000, 480x800, ARMv7,, Yes
NTT DoCoMo Samsung Galaxy S III LTE SC-06D, http://pdadb.net/index.php?m=specs&id=3564&view=1, 1024, 1512, 720x1280, ARMv7,,
Sony Xperia Tipo Dual ST21i2 (Sony Tapioca DS), http://pdadb.net/index.php?m=specs&id=3620&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Sony Walkman NWZ-F806, http://pdadb.net/index.php?m=specs&id=3688&view=1,,, 480x800, , ,
Casio V-T500-WJ, http://pdadb.net/index.php?m=specs&id=3724&view=1, 1024, 1500, 1280x800, ARMv7,,
Motorola Photon Q 4G LTE XT897 (Motorola Asanti), http://pdadb.net/index.php?m=specs&id=3626&view=1, 1024, 1512, 540x960, ARMv7,,
Kyocera Rise C5155, http://pdadb.net/index.php?m=specs&id=3543&view=1, 512, 1000, 320x480, ARMv7, Yes,
Verizon Samsung SCH-i705 Galaxy Tab 2 7.0 4G LTE, http://pdadb.net/index.php?m=specs&id=3614&view=1, 1024, 1200, 1024x600, ARMv7,,
Samsung GT-N8000 Galaxy Note 10.1 32GB / Galaxy Note 800, http://pdadb.net/index.php?m=specs&id=3747&view=1, 2048, 1400, 1280x800, ARMv7,,
Samsung GT-N8010 Galaxy Note 10.1 WiFi 64GB, http://pdadb.net/index.php?m=specs&id=3748&view=1, 2048, 1400, 1280x800, ARMv7,,
Alcatel One Touch OT-993, http://pdadb.net/index.php?m=specs&id=3870&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
NTT DoCoMo LG L-06D Optimus Vu / JOJO, http://pdadb.net/index.php?m=specs&id=3570&view=1, 1024, 1500, 768x1024, ARMv7,,
Sony Xperia advance ST27a (Sony Lotus), http://pdadb.net/index.php?m=specs&id=3587&view=1, 512, 1000, 320x480, ARMv7, Yes,
Casio V-T500-J, http://pdadb.net/index.php?m=specs&id=3725&view=1, 1024, 1500, 1280x800, ARMv7,,
Motorola Atrix HD LTE MB886 (Motorola Dinara), http://pdadb.net/index.php?m=specs&id=3671&view=1, 1024, 1512, 720x1280, ARMv7,,
